,Ploidy,HS,Treatment,meanmass,SEM,,
1,2M,HS,20,2.789105263,0.642841585,,2.79 (± 0.64)
2,2M,HS,60,3.286633986,0.672261119,,3.29 (± 0.67)
3,2M,HS,80,2.184026293,0.578842511,,2.18 (± 0.58)
4,2M,NOHS,100,1.470939008,0.178025655,,1.47 (± 0.18)
5,2M,NOHS,20,1.898531384,0.781841445,,1.9 (± 0.78)
6,2M,NOHS,40,1.754114868,0.17817323,,1.75 (± 0.18)
7,2M,NOHS,60,1.707872358,0.320655541,,1.71 (± 0.32)
8,2M,NOHS,80,1.431119064,0.275683641,,1.43 (± 0.28)
9,3C,HS,20,2.862407151,0.604244965,,2.86 (± 0.6)
10,3C,HS,60,2.197913096,0.371449194,,2.2 (± 0.37)
11,3C,HS,80,2.470677278,0.551261982,,2.47 (± 0.55)
12,3C,NOHS,100,1.423233165,0.324154491,,1.42 (± 0.32)
13,3C,NOHS,20,0.869075273,0.211400001,,0.87 (± 0.21)
14,3C,NOHS,40,1.427564281,0.338248009,,1.43 (± 0.34)
15,3C,NOHS,60,1.362602307,0.180709348,,1.36 (± 0.18)
16,3C,NOHS,80,0.864329341,0.153768583,,0.86 (± 0.15)
17,3M,HS,20,3.574611565,1.281854092,,3.57 (± 1.28)
18,3M,HS,60,2.59704386,0.388128077,,2.6 (± 0.39)
19,3M,HS,80,2.91461065,1.455228118,,2.91 (± 1.46)
20,3M,NOHS,100,1.119427299,0.201574832,,1.12 (± 0.2)
21,3M,NOHS,20,0.790712198,0.239142636,,0.79 (± 0.24)
22,3M,NOHS,40,1.313436889,0.370005803,,1.31 (± 0.37)
23,3M,NOHS,60,1.279264256,0.496754352,,1.28 (± 0.5)
24,3M,NOHS,80,0.688109511,0.163233109,,0.69 (± 0.16)
