,Tag.colour,Time,Treatment,meanmass,SEM,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
6,Blue,1_start,20,3.345,0.184887164,,3.35 (± 0.18),3.35 (± 0.18)
7,Blue,1_start,40,2.825,0.250950724,,2.83 (± 0.25),2.83 (± 0.25)
8,Blue,1_start,60,2.783333333,0.216718812,,2.78 (± 0.22),2.78 (± 0.22)
9,Blue,1_start,80,3.054285714,0.258973013,,3.05 (± 0.26),3.05 (± 0.26)
10,Blue,1_start,100,2.693333333,0.206475217,,2.69 (± 0.21),2.69 (± 0.21)
11,Blue,2_end,20,2.764150943,0.278356862,,2.76 (± 0.28),2.76 (± 0.28)
12,Blue,2_end,40,2.745614035,0.274912497,,2.75 (± 0.27),2.75 (± 0.27)
13,Blue,2_end,60,2.731683168,0.163736874,,2.73 (± 0.16),2.73 (± 0.16)
14,Blue,2_end,80,2.965151515,0.220409583,,2.97 (± 0.22),2.97 (± 0.22)
15,Blue,2_end,100,1.667924528,0.099080445,,1.67 (± 0.1),1.67 (± 0.1)
16,Blue ,1_start,100,1.683333333,0.192627527,,1.68 (± 0.19),1.68 (± 0.19)
17,Blue+White,1_start,80,3.895,0.296690074,,3.9 (± 0.3),3.9 (± 0.3)
18,Blue+Yellow,1_start,40,4.03,0.347706773,,4.03 (± 0.35),4.03 (± 0.35)
19,Blue+Yellow,1_start,80,4.4,NA,,#VALUE!,#VALUE!
20,Green,1_start,20,3.000917431,0.16858476,,3 (± 0.17),3 (± 0.17)
21,Green,1_start,40,2.878688525,0.199769194,,2.88 (± 0.2),2.88 (± 0.2)
22,Green,1_start,60,2.65,0.385356977,,2.65 (± 0.39),2.65 (± 0.39)
23,Green,1_start,80,2.532857143,0.134806378,,2.53 (± 0.13),2.53 (± 0.13)
24,Green,1_start,100,2.752808989,0.154702339,,2.75 (± 0.15),2.75 (± 0.15)
25,Green,2_end,20,2.460344828,0.157355252,,2.46 (± 0.16),2.46 (± 0.16)
26,Green,2_end,40,2.745614035,0.21916437,,2.75 (± 0.22),2.75 (± 0.22)
27,Green,2_end,60,2.322641509,0.20217686,,2.32 (± 0.2),2.32 (± 0.2)
28,Green,2_end,80,2.96,0.213609097,,2.96 (± 0.21),2.96 (± 0.21)
29,Green,2_end,100,2.705208333,0.162911892,,2.71 (± 0.16),2.71 (± 0.16)
30,Green ,1_start,40,2.28,0.281718862,,2.28 (± 0.28),2.28 (± 0.28)
31,Green ,1_start,60,2.446666667,0.327994019,,2.45 (± 0.33),2.45 (± 0.33)
32,Green+White,1_start,80,5.105,0.351199074,,5.11 (± 0.35),5.11 (± 0.35)
33,Green+Yellow,1_start,20,3.97,0.338312807,,3.97 (± 0.34),3.97 (± 0.34)
34,Red,1_start,20,6.61512605,0.325841058,,6.62 (± 0.33),6.62 (± 0.33)
35,Red,1_start,40,6.071111111,0.315426289,,6.07 (± 0.32),6.07 (± 0.32)
36,Red,1_start,60,7.133333333,0.523347609,,7.13 (± 0.52),7.13 (± 0.52)
37,Red,1_start,80,6.337142857,0.358217183,,6.34 (± 0.36),6.34 (± 0.36)
38,Red,1_start,100,5.698888889,0.292582007,,5.7 (± 0.29),5.7 (± 0.29)
39,Red,2_end,20,6.068421053,0.46892907,,6.07 (± 0.47),6.07 (± 0.47)
40,Red,2_end,40,6.290625,0.397266945,,6.29 (± 0.4),6.29 (± 0.4)
41,Red,2_end,60,7.926666667,0.442980622,,7.93 (± 0.44),7.93 (± 0.44)
42,Red,2_end,80,7.143939394,0.413406615,,7.14 (± 0.41),7.14 (± 0.41)
43,Red,2_end,100,5.689333333,0.324487529,,5.69 (± 0.32),5.69 (± 0.32)
44,Red ,1_start,60,6.283333333,0.595733554,,6.28 (± 0.6),6.28 (± 0.6)
45,Red (white tag),1_start,80,9.56,1.310318028,,,
46,Red+Yellow,1_start,80,6.63,0.755285082,,,
47,Red+white,1_start,20,4.4,NA,,,
48,green+yellow,1_start,60,3.83,0.408533964,,,
