Tank,Treatment,Ploidy,Tag colour,Tag num,Shell Height,Mass,Time
11,80,3M,Red,,54.52,10.3,1_start
11,80,3M,Red,,34.83,5.2,1_start
11,80,3M,Red,,49.77,5.9,1_start
11,80,3M,Red,,55.39,11.3,1_start
11,80,3M,Red,,44.23,6.6,1_start
11,80,3M,Red,,57.77,13.2,1_start
11,80,3M,Red,,59.06,9.7,1_start
11,80,3M,Red,,41.66,7.5,1_start
11,80,3M,Red,,48.31,7.7,1_start
11,80,3M,Red,,56.17,11.4,1_start
11,80,3M,Red,,55.76,13.6,1_start
11,80,3M,Red,,53.6,6.8,1_start
11,80,3M,Red,,53.96,11,1_start
11,80,3M,Red,,39.86,5.6,1_start
11,80,3M,Red,,39.86,4.1,1_start
11,80,3M,Red,,40.71,6.7,1_start
11,80,3M,Red,,51.45,6.2,1_start
11,80,3M,Red,,39.87,5,1_start
11,80,3M,Red,,38.54,4.1,1_start
11,80,3M,Red,,31.29,3.6,1_start
11,80,3M,Red (white tag),51,49.43,6,1_start
11,80,3M,Red (white tag),52,66.87,18.5,1_start
11,80,3M,Red (white tag),53,57.84,11.6,1_start
11,80,3M,Red (white tag),54,37.52,5.1,1_start
11,80,3M,Red (white tag),55,54.24,8.7,1_start
11,80,3M,Red (white tag),56,55.36,9.5,1_start
11,80,3M,Red (white tag),57,45.01,6.5,1_start
11,80,3M,Red (white tag),58,51.14,8.9,1_start
11,80,3M,Red (white tag),59,45.03,6.8,1_start
11,80,3M,Red (white tag),60,58.5,14,1_start
11,80,3C,Blue,,21.79,1.3,1_start
11,80,3C,Blue,,41.8,5.6,1_start
11,80,3C,Blue,,31.54,2.6,1_start
11,80,3C,Blue,,25.53,2.4,1_start
11,80,3C,Blue,,35.62,2.6,1_start
11,80,3C,Blue,,33.04,2.2,1_start
11,80,3C,Blue,,30.5,2.1,1_start
11,80,3C,Blue,,33.58,3.5,1_start
11,80,3C,Blue,,33.38,3.6,1_start
11,80,3C,Blue,,40.07,5.2,1_start
11,80,3C,Blue,,36.21,3.1,1_start
11,80,3C,Blue,,35.43,3.6,1_start
11,80,3C,Blue,,36.56,3.8,1_start
11,80,3C,Blue,,36.77,3.6,1_start
11,80,3C,Blue,,33.91,3.1,1_start
11,80,3C,Blue,,23.3,1.1,1_start
11,80,3C,Blue,,24.58,1.8,1_start
11,80,3C,Blue,,24.51,1.4,1_start
11,80,3C,Blue,,26.52,2.2,1_start
11,80,3C,Blue,,23.23,1.6,1_start
11,80,3C,Blue+White,61,40.13,4.2,1_start
11,80,3C,Blue+White,62,34.4,2.3,1_start
11,80,3C,Blue+White,63,34.4,3.7,1_start
11,80,3C,Blue+White,64,31.71,3.1,1_start
11,80,3C,Blue+White,65,34.96,3.5,1_start
11,80,3C,Blue+White,66,36.64,3.7,1_start
11,80,3C,Blue+White,67,32.64,2.1,1_start
11,80,3C,Blue+White,68,39.81,4,1_start
11,80,3C,Blue+White,69,49.31,7.9,1_start
11,80,3C,Blue+White,70,44.67,4,1_start
11,80,2M,Green,,39.58,3.7,1_start
11,80,2M,Green,,27.71,1.8,1_start
11,80,2M,Green,,29.36,2.9,1_start
11,80,2M,Green,,22.01,1.1,1_start
11,80,2M,Green,,32.54,2.4,1_start
11,80,2M,Green,,31.6,3.8,1_start
11,80,2M,Green,,28.86,1.9,1_start
11,80,2M,Green,,40.63,4.7,1_start
11,80,2M,Green,,47.33,4.4,1_start
11,80,2M,Green,,24.46,1.3,1_start
11,80,2M,Green,,36.42,3.3,1_start
11,80,2M,Green,,27.11,1.7,1_start
11,80,2M,Green,,32.52,2.4,1_start
11,80,2M,Green,,41.79,4.3,1_start
11,80,2M,Green,,29.91,2.2,1_start
11,80,2M,Green,,36.23,2.6,1_start
11,80,2M,Green,,34.21,3.2,1_start
11,80,2M,Green,,34.21,3.1,1_start
11,80,2M,Green,,37.24,3.8,1_start
11,80,2M,Green,,19.66,2.2,1_start
11,80,2M,Green+White,71,56.64,7.1,1_start
11,80,2M,Green+White,72,45.98,7.4,1_start
11,80,2M,Green+White,73,39.61,3,1_start
11,80,2M,Green+White,74,40.6,5.1,1_start
11,80,2M,Green+White,75,38.83,4,1_start
11,80,2M,Green+White,76,34.39,3.5,1_start
11,80,2M,Green+White,77,40.52,3.6,1_start
11,80,2M,Green+White,78,40.46,4.1,1_start
11,80,2M,Green+White,79,36.65,6.2,1_start
11,80,2M,Green+White,80,29.3,2.4,1_start
13,80,2M,Green+White,81,48.78,6.6,1_start
13,80,2M,Green+White,82,45.31,6.4,1_start
13,80,2M,Green+White,83,47.9,4.5,1_start
13,80,2M,Green+White,84,58.26,5.7,1_start
13,80,2M,Green+White,85,52.48,4.9,1_start
13,80,2M,Green+White,86,42.78,6.7,1_start
13,80,2M,Green+White,87,53.58,7.8,1_start
13,80,2M,Green+White,88,41.58,4.2,1_start
13,80,2M,Green+White,89,48.04,5.3,1_start
13,80,2M,Green+White,91,35.98,3.6,1_start
13,80,2M,Green,,40.99,5.2,1_start
13,80,2M,Green,,42.17,3.7,1_start
13,80,2M,Green,,29.74,2.1,1_start
13,80,2M,Green,,33.92,2.6,1_start
13,80,2M,Green,,31.5,3.2,1_start
13,80,2M,Green,,32.49,1.8,1_start
13,80,2M,Green,,40.79,3.8,1_start
13,80,2M,Green,,32.18,3.2,1_start
13,80,2M,Green,,34.29,2.6,1_start
13,80,2M,Green,,24.23,1.3,1_start
13,80,2M,Green,,29.06,1.7,1_start
13,80,2M,Green,,33.29,2.5,1_start
13,80,2M,Green,,43.95,4.8,1_start
13,80,2M,Green,,28.76,1.9,1_start
13,80,2M,Green,,26.6,1.6,1_start
13,80,2M,Green,,31.03,2.3,1_start
13,80,2M,Green,,30.27,2.1,1_start
13,80,2M,Green,,21.89,0.9,1_start
13,80,2M,Green,,25.46,1.8,1_start
13,80,2M,Green,,33.16,2.2,1_start
13,80,3C,Blue,,52.19,7.8,1_start
13,80,3C,Blue,,36.77,3.8,1_start
13,80,3C,Blue,,50.58,5.8,1_start
13,80,3C,Blue,,44.24,9.3,1_start
13,80,3C,Blue,,30.45,3.9,1_start
13,80,3C,Blue,,54.8,8.9,1_start
13,80,3C,Blue,,46.77,6.5,1_start
13,80,3C,Blue,,54.74,10.4,1_start
13,80,3C,Blue,,33.88,3.3,1_start
13,80,3C,Blue,,30.97,2.3,1_start
13,80,3C,Blue,,31.63,3.1,1_start
13,80,3C,Blue,,33.45,3.3,1_start
13,80,3C,Blue,,29.46,1.9,1_start
13,80,3C,Blue,,28.14,2.7,1_start
13,80,3C,Blue,,26.26,2.1,1_start
13,80,3C,Blue,,32.79,2.4,1_start
13,80,3C,Blue,,48.29,9.1,1_start
13,80,3C,Blue,,30.78,2.2,1_start
13,80,3C,Blue,,31.47,3.2,1_start
13,80,3C,Blue,,23.17,1.4,1_start
13,80,3C,Blue+White,92,34.94,3.1,1_start
13,80,3C,Blue+White,93,38.02,4.7,1_start
13,80,3C,Blue+White,94,37.68,3.2,1_start
13,80,3C,Blue+White,95,34.89,3.6,1_start
13,80,3C,Blue+White,96,37.22,3.6,1_start
13,80,3C,Blue+White,97,40.59,5,1_start
13,80,3C,Blue+White,98,36.15,2.9,1_start
13,80,3C,Blue+White,99,44.73,4.8,1_start
13,80,3C,Blue+White,100,43.3,5.9,1_start
13,80,3C,Blue+Yellow,1,40.62,4.4,1_start
13,80,3M,Red,,59.61,12.3,1_start
13,80,3M,Red,,31.15,2.3,1_start
13,80,3M,Red,,38.66,4.7,1_start
13,80,3M,Red,,55.55,10.2,1_start
13,80,3M,Red,,61.83,9.5,1_start
13,80,3M,Red,,40.25,5.5,1_start
13,80,3M,Red,,46.96,9.3,1_start
13,80,3M,Red,,49.93,10.7,1_start
13,80,3M,Red,,49.2,6.5,1_start
13,80,3M,Red,,36.36,3.3,1_start
13,80,3M,Red,,40.17,3.9,1_start
13,80,3M,Red,,42.17,6.4,1_start
13,80,3M,Red,,30.32,4.6,1_start
13,80,3M,Red,,35.47,5.9,1_start
13,80,3M,Red,,33.81,4.7,1_start
13,80,3M,Red,,38.49,6,1_start
13,80,3M,Red,,40.32,5.9,1_start
13,80,3M,Red,,32.07,3.4,1_start
13,80,3M,Red,,43.72,7.5,1_start
13,80,3M,Red,,46.39,6.5,1_start
13,80,3M,Red+Yellow,2,37.08,4,1_start
13,80,3M,Red+Yellow,3,46.26,8.9,1_start
13,80,3M,Red+Yellow,4,60.29,9.8,1_start
13,80,3M,Red+Yellow,5,43.27,7,1_start
13,80,3M,Red+Yellow,6,37.22,3.6,1_start
13,80,3M,Red+Yellow,7,50.96,9,1_start
13,80,3M,Red+Yellow,8,32.22,4.3,1_start
13,80,3M,Red+Yellow,9,31.17,4.4,1_start
13,80,3M,Red+Yellow,10,47.45,6.7,1_start
13,80,3M,Red+Yellow,11,49.57,8.6,1_start
2,40,3M,Red,,44.21,9.5,1_start
2,40,3M,Red,,30.86,4,1_start
2,40,3M,Red,,57.22,9.8,1_start
2,40,3M,Red,,33.05,4,1_start
2,40,3M,Red,,39.34,4.7,1_start
2,40,3M,Red,,31.4,2.6,1_start
2,40,3M,Red,,52.99,9.1,1_start
2,40,3M,Red,,52.11,7.9,1_start
2,40,3M,Red,,40.05,5.5,1_start
2,40,3M,Red,,32.16,2.6,1_start
2,40,3M,Red,,39.53,5.7,1_start
2,40,3M,Red,,51.98,4.9,1_start
2,40,3M,Red,,45.4,8.9,1_start
2,40,3M,Red,,39.96,5.4,1_start
2,40,3M,Red,,27.68,2.6,1_start
2,40,3M,Red,,42.13,7.7,1_start
2,40,3M,Red,,62.29,14.4,1_start
2,40,3M,Red,,41.01,7.3,1_start
2,40,3M,Red,,59.44,12.5,1_start
2,40,3M,Red,,42.72,4.2,1_start
2,40,3M,Red,1,45.26,6.8,1_start
2,40,3M,Red,2,47.1,7.7,1_start
2,40,3M,Red,3,51.77,8.4,1_start
2,40,3M,Red,4,42.74,7.9,1_start
2,40,3M,Red,5,45.31,6.3,1_start
2,40,3M,Red,6,27.14,2.5,1_start
2,40,3M,Red,7,27.97,2.4,1_start
2,40,3M,Red,8,48.31,6.8,1_start
2,40,3M,Red,9,39.37,5.8,1_start
2,40,3M,Red,10,35.69,3,1_start
2,40,2M,Green,,44.04,6.3,1_start
2,40,2M,Green,,44.6,5.3,1_start
2,40,2M,Green,,41.26,2.9,1_start
2,40,2M,Green,,39.72,3.9,1_start
2,40,2M,Green,,26.86,1.6,1_start
2,40,2M,Green,,29.37,1.9,1_start
2,40,2M,Green,,26.52,1.4,1_start
2,40,2M,Green,,28.19,1.8,1_start
2,40,2M,Green,,40.51,5.4,1_start
2,40,2M,Green,,41.32,4.1,1_start
2,40,2M,Green,,45.01,4.2,1_start
2,40,2M,Green,,24.62,1.8,1_start
2,40,2M,Green,,45.67,3.9,1_start
2,40,2M,Green,,30.51,3.7,1_start
2,40,2M,Green,,37.49,2.9,1_start
2,40,2M,Green,,25.66,1.7,1_start
2,40,2M,Green,,49.62,7,1_start
2,40,2M,Green,,24.5,1.7,1_start
2,40,2M,Green,,22.3,1.5,1_start
2,40,2M,Green,,23.09,0.9,1_start
2,40,2M,Green,1,42.49,4.9,1_start
2,40,2M,Green,2,30.5,2.4,1_start
