Treatment,Tank,Ploidy,Tag colour,Tag num,Shell Height,Shell length,Shell width,Mass,Time 
12.5,8,3M,red,2,39.97,23.1,17.42,5.4,1_start
12.5,8,3M,red,3,25.15,16.36,12.79,1.9,1_start
12.5,8,3M,red,4,24.92,16.18,8.67,1.4,1_start
12.5,8,3M,red,5,27.07,21.19,11.99,2.5,1_start
12.5,8,3M,red,6,23.27,15.95,8.92,1.3,1_start
12.5,8,3M,red,7,27.34,15.54,9.23,1.6,1_start
12.5,8,3M,red,8,21.1,14.24,7.6,1.1,1_start
12.5,8,3M,red,9,21.21,16.27,7.51,1.4,1_start
12.5,8,3M,red,10,26.81,18.63,10.09,1.7,1_start
12.5,8,3M,red,11,28.52,4.92,9,1.3,1_start
12.5,8,3M,red,12,28.99,16.77,7.35,1.5,1_start
12.5,8,3M,red,13,25.29,14.4,9.82,1.3,1_start
12.5,8,3M,red,14,24.32,17.4,11.54,1.7,1_start
12.5,8,3M,red,15,25.31,17.71,12.36,2.2,1_start
12.5,8,3M,red,16,27.53,17.16,7.66,1.4,1_start
12.5,8,3M,red,17,34.35,18.17,12.35,2.9,1_start
12.5,8,3M,red,18,31.8,15.23,10.95,2.3,1_start
12.5,8,3M,red,19,24.58,19.87,13.23,1.9,1_start
12.5,8,3M,red,20,19.91,16.02,7.22,1.1,1_start
12.5,8,3M,red,21,30.75,21.43,11.37,3,1_start
12.5,8,3M,red,22,30.14,17.71,13.34,2.4,1_start
12.5,8,3M,red,23,26.95,15.96,9.53,1.3,1_start
12.5,8,3M,red,24,23.6,14.03,10.55,1.3,1_start
12.5,8,3M,red,25,26.67,16.56,11.95,2.5,1_start
12.5,8,3M,red,26,21.39,14.91,9.71,1.1,1_start
12.5,8,3M,red,27,20.31,14.18,8.19,0.9,1_start
12.5,8,3M,red,28,22.63,14.13,9.3,1.3,1_start
12.5,8,3M,red,29,23.81,15.39,8.1,1.1,1_start
12.5,8,3M,red,30,26.79,15.74,7.58,1.1,1_start
12.5,8,3M,red,31,19.15,10.37,7.62,0.8,1_start
12.5,8,2M,green,1,20.92,17.06,6.74,0.9,1_start
12.5,8,2M,green,2,28.89,17.97,7.75,1.6,1_start
12.5,8,2M,green,4,20.02,18.48,6.33,0.8,1_start
12.5,8,2M,green,5,21,17.63,9.94,1.3,1_start
12.5,8,2M,green,6,22.26,13.89,6.99,1,1_start
12.5,8,2M,green,7,24.9,15.97,6.41,0.9,1_start
12.5,8,2M,green,8,22.71,16.42,5.26,0.8,1_start
12.5,8,2M,green,9,23.81,18.71,8.33,1.3,1_start
12.5,8,2M,green,10,21.36,16.82,5.88,0.9,1_start
12.5,8,2M,green,11,21.64,17.79,4.5,0.8,1_start
12.5,8,2M,green,12,21.83,15.45,7.6,1,1_start
12.5,8,2M,green,13,24.81,17.07,9.99,1.5,1_start
12.5,8,2M,green,14,22.01,15.27,8.51,1.1,1_start
12.5,8,2M,green,15,19.9,13.64,6.07,0.6,1_start
12.5,8,2M,green,16,27.86,18.13,8.23,1.7,1_start
12.5,8,2M,green,17,23.79,16.08,6.27,0.9,1_start
12.5,8,2M,green,18,18.54,17.25,7.6,0.8,1_start
12.5,8,2M,green,19,20.88,14.83,6.45,0.7,1_start
12.5,8,2M,green,20,20.97,17.7,6.59,0.9,1_start
12.5,8,2M,green,22,33.37,18.88,7.99,1.6,1_start
12.5,8,2M,green,23,22.06,x,6.13,0.9,1_start
12.5,8,2M,green,24,22.43,19.34,8.89,1.3,1_start
12.5,8,2M,green,25,22.27,16.79,5.3,0.9,1_start
12.5,8,2M,green,26,19.96,15.81,4.92,0.6,1_start
12.5,8,2M,green,27,20.76,17.51,4.57,0.7,1_start
12.5,8,2M,green,28,21.3,20.88,4.65,1.1,1_start
12.5,8,2M,green,29,19.64,18.59,5.75,0.7,1_start
12.5,8,2M,green,30,19.39,17.8,5.57,0.7,1_start
12.5,8,2M,green,31,16.83,16.95,4.42,0.6,1_start
12.5,8,2M,green,32,22.69,19.38,6.06,1.4,1_start
12.5,8,3C,blue,1,38.62,20.49,9.06,2.6,1_start
12.5,8,3C,blue,2,26.75,14.87,6.1,1,1_start
12.5,8,3C,blue,3,20.84,16.45,8.73,1,1_start
12.5,8,3C,blue,4,24.88,14.55,8.97,1.1,1_start
12.5,8,3C,blue,6,23.18,16.64,6.97,1,1_start
12.5,8,3C,blue,7,20.89,13.45,7.51,0.8,1_start
12.5,8,3C,blue,8,20.26,19.19,7.35,2,1_start
12.5,8,3C,blue,9,26.3,15.15,7.64,1,1_start
12.5,8,3C,blue,10,21.79,17.01,4.84,0.9,1_start
12.5,8,3C,blue,11,21.47,16.61,6.23,0.8,1_start
12.5,8,3C,blue,12,26.32,16.98,6.83,0.9,1_start
12.5,8,3C,blue,13,24.23,16.26,6.52,1.2,1_start
12.5,8,3C,blue,14,26.04,18.85,7.77,1.3,1_start
12.5,8,3C,blue,15,28.9,17.8,5.74,1.3,1_start
12.5,8,3C,blue,16,25.72,16.11,10.72,1.5,1_start
12.5,8,3C,blue,17,23.44,16.65,7.61,1.1,1_start
12.5,8,3C,blue,18,25.04,17.38,7.35,1.2,1_start
12.5,8,3C,blue,19,25.94,16.06,7.99,1,1_start
12.5,8,3C,blue,20,31.57,15.38,9.86,2,1_start
12.5,8,3C,blue,21,24.65,14.71,6.04,0.8,1_start
12.5,8,3C,blue,22,23.76,15.57,5.22,0.7,1_start
12.5,8,3C,blue,5,22.77,15.6,6.09,0.8,1_start
12.5,8,3C,blue,23,30.61,25.13,6.2,3,1_start
12.5,8,3C,blue,24,22.03,17.07,6.3,0.9,1_start
12.5,8,3C,blue,25,21.48,16.77,7.02,0.8,1_start
12.5,8,3C,blue,26,31.64,18.64,7.31,1.5,1_start
12.5,8,3C,blue,27,18.68,14.51,6.69,0.7,1_start
12.5,8,3C,blue,28,22.48,17.69,5.05,0.9,1_start
12.5,8,3C,blue,29,21.18,16.73,4.3,0.7,1_start
