,Treatment,Probe,Run,probe,rate,run,Respirometry.number,Date,Time,Tank,Colour,file.letter,Notes.druing.run,Notes.during.processing,Mass,bgrd,bgrdcorrectedrate,mass_corected_rate,HS,Treatment
1,1000,9,44,9,-0.133243847,44,291,11242023,1630,3,Green,g,,,0.1731,-0.048880049,-0.084363798,0.487370293,NOHS,1000
2,1000,9,42,9,-0.1503277,42,277,11242023,1420,13,Red,e,,,0.4906,-0.048880049,-0.101447651,0.206782818,NOHS,1000
3,1000,1,43,1,-0.107364499,43,278,11242023,1510,3,Blue,f,,,0.1775,-0.048880049,-0.05848445,0.329489858,NOHS,1000
4,1000,9,41,9,-0.107494332,41,270,11242023,1310,10,Blue,d,,,0.1094,-0.048880049,-0.058614283,0.53577955,NOHS,1000
5,1000,5,42,5,-0.131120699,42,274,11242023,1420,13,Green,e,,,0.4662,-0.048880049,-0.08224065,0.17640637,NOHS,1000
6,1000,1,44,1,-0.094596667,44,285,11242023,1630,10,Green,g,,,0.2,-0.048880049,-0.045716618,0.228583089,NOHS,1000
7,1000,9,43,9,-0.549284919,43,284,11242023,1510,13,Green,f,,,0.3669,-0.048880049,-0.50040487,1.363872635,NOHS,1000
8,1000,4,41,4,-0.095599976,41,266,11242023,1310,10,Green,d,,,0.3608,-0.048880049,-0.046719927,0.129489819,NOHS,1000
9,1000,1,40,1,-0.331366627,40,257,11242023,1210,3,Red,c,,,0.2457,-0.048880049,-0.282486578,1.149721521,NOHS,1000
10,1000,2,40,2,-0.09574332,40,258,11242023,1210,3,Red,c,,,0.252,-0.048880049,-0.046863271,0.18596536,NOHS,1000
11,1000,7,40,7,-0.097012396,40,261,11242023,1210,3,Green,c,,,0.1599,-0.048880049,-0.048132347,0.301015302,NOHS,1000
12,1000,7,41,7,-0.350909025,41,268,11242023,1310,10,Red,d,,,0.3087,-0.048880049,-0.302028976,0.978389944,NOHS,1000
13,1000,8,44,8,-0.075522301,44,290,11242023,1630,3,Red,g,,,0.1849,-0.048880049,-0.026642252,0.144090058,NOHS,1000
14,1000,7,43,7,-0.099530963,43,282,11242023,1510,10,Red,f,,,0.1357,-0.048880049,-0.050650914,0.373256549,NOHS,1000
15,1000,1,42,1,-0.205293285,42,271,11242023,1420,13,Blue,e,,,0.0909,-0.048880049,-0.156413236,1.720717665,NOHS,1000
16,1000,5,40,5,-0.364001292,40,260,11242023,1210,3,Blue,c,,,0.2648,-0.048880049,-0.315121243,1.190034905,NOHS,1000
17,1000,4,40,4,-0.101066168,40,259,11242023,1210,3,Blue,c,,,0.2213,-0.048880049,-0.052186119,0.235816171,NOHS,1000
18,1000,4,42,4,-0.242819455,42,273,11242023,1420,13,Blue,e,,,0.147,-0.048880049,-0.193939406,1.319315685,NOHS,1000
19,1000,5,43,5,-0.135242652,43,281,11242023,1510,10,Blue,f,,,0.1199,-0.048880049,-0.086362603,0.720288597,NOHS,1000
20,1000,2,41,2,-0.199119594,41,265,11242023,1310,10,Green,d,,,0.1279,-0.048880049,-0.150239545,1.17466415,NOHS,1000
21,1000,8,43,8,-0.06954765,43,283,11242023,1510,13,Red,f,,,0.2123,-0.048880049,-0.020667601,0.097350922,NOHS,1000
22,1000,2,43,2,-0.09515477,43,279,11242023,1510,3,Green,f,,,0.2948,-0.048880049,-0.046274721,0.15696988,NOHS,1000
