Tank,Treatment,Colour,Mass,Height,Ploidy,Time point
5,CTRL,Blue,2.7,31.99,Diploid,1_start
5,CTRL,Blue,7.5,50.87,Diploid,1_start
5,CTRL,Blue,3.7,40.06,Diploid,1_start
5,CTRL,Blue,6.5,50.6,Diploid,1_start
5,CTRL,Blue,5.2,41.98,Diploid,1_start
5,CTRL,Blue,8.9,54.66,Diploid,1_start
5,CTRL,Blue,10.7,42.97,Diploid,1_start
5,CTRL,Blue,8.8,51.54,Diploid,1_start
5,CTRL,Blue,5.8,43.23,Diploid,1_start
5,CTRL,Blue,8.6,52.38,Diploid,1_start
5,CTRL,Blue,8.7,54.4,Diploid,1_start
5,CTRL,Blue,10.4,50.86,Diploid,1_start
5,CTRL,Blue,5.4,43.13,Diploid,1_start
5,CTRL,Blue,10.9,54.66,Diploid,1_start
5,CTRL,Blue,5,38.46,Diploid,1_start
4,CTRL,Blue,10.1,49.66,Diploid,1_start
4,CTRL,Blue,12.1,52.5,Diploid,1_start
4,CTRL,Blue,9.4,55.42,Diploid,1_start
4,CTRL,Blue,14.5,68.16,Diploid,1_start
4,CTRL,Blue,4.8,41.72,Diploid,1_start
4,CTRL,Blue,6.4,47.61,Diploid,1_start
4,CTRL,Blue,6.2,44.59,Diploid,1_start
4,CTRL,Blue,7.3,51.08,Diploid,1_start
4,CTRL,Blue,10.1,56.81,Diploid,1_start
4,CTRL,Blue,8.4,50.45,Diploid,1_start
4,CTRL,Blue,9.8,47.15,Diploid,1_start
4,CTRL,Blue,3.7,43.46,Diploid,1_start
4,CTRL,Blue,8,54.79,Diploid,1_start
4,CTRL,Blue,6,49.26,Diploid,1_start
4,CTRL,Blue,7.9,54.63,Diploid,1_start
14,CTRL,Blue,7.1,57.11,Diploid,1_start
14,CTRL,Blue,4.7,36.63,Diploid,1_start
14,CTRL,Blue,6.8,39.94,Diploid,1_start
14,CTRL,Blue,5.6,41.97,Diploid,1_start
14,CTRL,Blue,5.2,42.11,Diploid,1_start
14,CTRL,Blue,6.5,46.49,Diploid,1_start
14,CTRL,Blue,5.8,51.61,Diploid,1_start
14,CTRL,Blue,7.3,48.52,Diploid,1_start
14,CTRL,Blue,3.8,37.61,Diploid,1_start
14,CTRL,Blue,3,31.65,Diploid,1_start
14,CTRL,Blue,6.9,49.08,Diploid,1_start
14,CTRL,Blue,5.8,58.54,Diploid,1_start
14,CTRL,Blue,9.3,54.13,Diploid,1_start
14,CTRL,Blue,5.4,40.68,Diploid,1_start
14,CTRL,Blue,5.6,43.87,Diploid,1_start
5,CTRL,Green,3.5,34.77,Mated Triploid,1_start
5,CTRL,Green,15.9,61.33,Mated Triploid,1_start
5,CTRL,Green,7.3,47.03,Mated Triploid,1_start
5,CTRL,Green,25.6,65.86,Mated Triploid,1_start
5,CTRL,Green,26.7,73.53,Mated Triploid,1_start
5,CTRL,Green,4.9,43.87,Mated Triploid,1_start
5,CTRL,Green,23,57.65,Mated Triploid,1_start
5,CTRL,Green,12.4,63.92,Mated Triploid,1_start
5,CTRL,Green,16.6,56.24,Mated Triploid,1_start
5,CTRL,Green,10.6,55.17,Mated Triploid,1_start
5,CTRL,Green,10,60.12,Mated Triploid,1_start
5,CTRL,Green,9.9,54.31,Mated Triploid,1_start
5,CTRL,Green,4.3,39.17,Mated Triploid,1_start
5,CTRL,Green,4,40.06,Mated Triploid,1_start
5,CTRL,Green,15.7,60.94,Mated Triploid,1_start
4,CTRL,Green,5.8,38.98,Mated Triploid,1_start
4,CTRL,Green,7.9,48.13,Mated Triploid,1_start
4,CTRL,Green,3.6,40.41,Mated Triploid,1_start
4,CTRL,Green,12.7,49.93,Mated Triploid,1_start
4,CTRL,Green,5.1,49.16,Mated Triploid,1_start
4,CTRL,Green,10.1,57.48,Mated Triploid,1_start
4,CTRL,Green,23.9,67.41,Mated Triploid,1_start
4,CTRL,Green,7.3,44.25,Mated Triploid,1_start
4,CTRL,Green,3.2,39,Mated Triploid,1_start
4,CTRL,Green,4.5,44.32,Mated Triploid,1_start
4,CTRL,Green,6.2,43.48,Mated Triploid,1_start
4,CTRL,Green,6,46.85,Mated Triploid,1_start
4,CTRL,Green,8.3,44.7,Mated Triploid,1_start
4,CTRL,Green,21.3,70.61,Mated Triploid,1_start
4,CTRL,Green,4.2,36.85,Mated Triploid,1_start
14,CTRL,Green,20,59.31,Mated Triploid,1_start
14,CTRL,Green,8.3,53.66,Mated Triploid,1_start
14,CTRL,Green,6.7,50.08,Mated Triploid,1_start
14,CTRL,Green,24.3,57.32,Mated Triploid,1_start
14,CTRL,Green,5.6,41.9,Mated Triploid,1_start
14,CTRL,Green,5.8,42.71,Mated Triploid,1_start
14,CTRL,Green,5.8,48.42,Mated Triploid,1_start
14,CTRL,Green,6.4,43.43,Mated Triploid,1_start
14,CTRL,Green,5.7,44.41,Mated Triploid,1_start
14,CTRL,Green,25.2,67.57,Mated Triploid,1_start
14,CTRL,Green,13,59.41,Mated Triploid,1_start
14,CTRL,Green,5.7,42.39,Mated Triploid,1_start
14,CTRL,Green,11.4,41.08,Mated Triploid,1_start
14,CTRL,Green,10.8,54.38,Mated Triploid,1_start
14,CTRL,Green,11.1,50.68,Mated Triploid,1_start
5,CTRL,Red,11.5,49.88,Induced Triploid,1_start
5,CTRL,Red,14.9,48.11,Induced Triploid,1_start
5,CTRL,Red,8.1,51.2,Induced Triploid,1_start
5,CTRL,Red,6.4,46.8,Induced Triploid,1_start
5,CTRL,Red,9.3,46.73,Induced Triploid,1_start
5,CTRL,Red,5.6,43.92,Induced Triploid,1_start
5,CTRL,Red,6.9,41.62,Induced Triploid,1_start
5,CTRL,Red,4.5,37.37,Induced Triploid,1_start
5,CTRL,Red,10.4,49.15,Induced Triploid,1_start
5,CTRL,Red,9.6,46.78,Induced Triploid,1_start
5,CTRL,Red,11.2,51.02,Induced Triploid,1_start
5,CTRL,Red,16.4,52.73,Induced Triploid,1_start
5,CTRL,Red,9.2,49.21,Induced Triploid,1_start
5,CTRL,Red,13.6,53.74,Induced Triploid,1_start
5,CTRL,Red,11.2,59.93,Induced Triploid,1_start
4,CTRL,Red,5.9,52.94,Induced Triploid,1_start
4,CTRL,Red,10.9,48.76,Induced Triploid,1_start
4,CTRL,Red,6.1,45.08,Induced Triploid,1_start
4,CTRL,Red,17.6,59,Induced Triploid,1_start
4,CTRL,Red,6.8,41.92,Induced Triploid,1_start
4,CTRL,Red,7.7,50.85,Induced Triploid,1_start
4,CTRL,Red,6.7,44.62,Induced Triploid,1_start
4,CTRL,Red,6.9,46.38,Induced Triploid,1_start
4,CTRL,Red,14.5,56.9,Induced Triploid,1_start
4,CTRL,Red,5.2,39.53,Induced Triploid,1_start
4,CTRL,Red,6.9,44.73,Induced Triploid,1_start
4,CTRL,Red,14,52.96,Induced Triploid,1_start
4,CTRL,Red,12.8,52.38,Induced Triploid,1_start
4,CTRL,Red,9.7,59.01,Induced Triploid,1_start
4,CTRL,Red,5.5,44.44,Induced Triploid,1_start
14,CTRL,Red,5.9,47.36,Induced Triploid,1_start
14,CTRL,Red,8.9,53.53,Induced Triploid,1_start
14,CTRL,Red,7.3,50.87,Induced Triploid,1_start
14,CTRL,Red,13.2,53.03,Induced Triploid,1_start
14,CTRL,Red,9.5,51.55,Induced Triploid,1_start
14,CTRL,Red,7,44.24,Induced Triploid,1_start
14,CTRL,Red,5.6,45.49,Induced Triploid,1_start
14,CTRL,Red,5,40.4,Induced Triploid,1_start
14,CTRL,Red,7.6,50.61,Induced Triploid,1_start
14,CTRL,Red,5.4,44.97,Induced Triploid,1_start
14,CTRL,Red,8.8,43.06,Induced Triploid,1_start
14,CTRL,Red,9.5,51.24,Induced Triploid,1_start
14,CTRL,Red,5.2,44.61,Induced Triploid,1_start
14,CTRL,Red,12.6,52.47,Induced Triploid,1_start
14,CTRL,Red,14.9,55.96,Induced Triploid,1_start
6,250,Red,11,50.27,Induced Triploid,1_start
