"","contrast","estimate","SE","df","t.ratio","p.value"
"1","2M Treatment20 - 3C Treatment20",-0.105858583294073,0.0574164750233203,2573,-1.84369700945726,0.880036221811697
"2","2M Treatment20 - 3M Treatment20",-0.695811205870758,0.0569062682156996,2573,-12.2273209558098,0
"3","2M Treatment20 - 2M Treatment40",-0.0873376166706974,0.109276299516742,2573,-0.799236587045267,0.999975377977877
"4","2M Treatment20 - 3C Treatment40",-0.118639071228011,0.110203730835129,2573,-1.07654314721434,0.999169722879308
"5","2M Treatment20 - 3M Treatment40",-0.784887819523327,0.106877839391681,2573,-7.34378449256361,0
"6","2M Treatment20 - 2M Treatment60",0.179041069867329,0.0926715270134388,2573,1.93199654346221,0.836939232609745
"7","2M Treatment20 - 3C Treatment60",0.0903040696048455,0.0943874491408599,2573,0.956738109005144,0.999784603636201
"8","2M Treatment20 - 3M Treatment60",-0.836529785821029,0.0934463594682717,2573,-8.9519783390284,0
"9","2M Treatment20 - 2M Treatment80",-0.0900811981392516,0.159803354393598,12,-0.563700295785908,0.999997472144799
"10","2M Treatment20 - 3C Treatment80",-0.127664192934829,0.159719006672348,12,-0.79930495183158,0.999846827740828
"11","2M Treatment20 - 3M Treatment80",-0.893939807492161,0.159803040405937,12,-5.59401000895442,0.00554281203817408
"12","2M Treatment20 - 2M Treatment100",0.0717582435645106,0.159494017732183,12,0.449911818542339,0.999999854474171
"13","2M Treatment20 - 3C Treatment100",0.262628501129968,0.161071774847329,12,1.63050603607553,0.92023492238572
"14","2M Treatment20 - 3M Treatment100",-0.708051473465497,0.159922985263852,12,-4.42745282860563,0.0328729537936338
"15","3C Treatment20 - 3M Treatment20",-0.589952622576685,0.0541292815208024,2573,-10.8989553528428,0
"16","3C Treatment20 - 2M Treatment40",0.0185209666233757,0.109042324068858,2573,0.169851172758203,1
"17","3C Treatment20 - 3C Treatment40",-0.0127804879339384,0.10997552488306,2573,-0.116212111263195,1
"18","3C Treatment20 - 3M Treatment40",-0.679029236229254,0.106640572071,2573,-6.36745680412483,2.33344904509991e-08
"19","3C Treatment20 - 2M Treatment60",0.284899653161402,0.0925236411805575,2573,3.07920926507234,0.125276204397842
"20","3C Treatment20 - 3C Treatment60",0.196162652898918,0.0942281315993212,2573,2.08178438402074,0.747258818245428
"21","3C Treatment20 - 3M Treatment60",-0.730671202526956,0.0932917494376672,2573,-7.83210955878958,0
"22","3C Treatment20 - 2M Treatment80",0.0157773851548214,0.159415819349361,12,0.0989700094960155,1
"23","3C Treatment20 - 3C Treatment80",-0.0218056096407562,0.159331266472667,12,-0.136857065932485,1
"24","3C Treatment20 - 3M Treatment80",-0.788081224198088,0.159415504598405,12,-4.94356697727365,0.0148206434251167
"25","3C Treatment20 - 2M Treatment100",0.177616826858584,0.159105729236053,12,1.11634463266289,0.995535893688891
"26","3C Treatment20 - 3C Treatment100",0.368487084424041,0.16068729892512,12,2.2931935933266,0.610697313758838
"27","3C Treatment20 - 3M Treatment100",-0.602192890171424,0.159535740820308,12,-3.77465818678023,0.0897105030326693
"28","3M Treatment20 - 2M Treatment40",0.608473589200061,0.109118997173381,2573,5.57623883065245,2.8135538698848e-06
"29","3M Treatment20 - 3C Treatment40",0.577172134642747,0.110054054847922,2573,5.24444224649705,1.73906460065876e-05
"30","3M Treatment20 - 3M Treatment40",-0.089076613652569,0.106720271972698,2573,-0.834673787894371,0.9999580137775
"31","3M Treatment20 - 2M Treatment60",0.874852275738087,0.0926984867632173,2573,9.43761118747009,0
"32","3M Treatment20 - 3C Treatment60",0.786115275475604,0.0943905017204624,2573,8.32833029962787,0
"33","3M Treatment20 - 3M Treatment60",-0.140718579950271,0.0934599120733826,2573,-1.50565709755624,0.975570619818199
"34","3M Treatment20 - 2M Treatment80",0.605730007731507,0.159317713008718,12,3.80202550169898,0.0860658558169327
"35","3M Treatment20 - 3C Treatment80",0.568147012935929,0.159233108037506,12,3.56802062044852,0.122296318537985
"36","3M Treatment20 - 3M Treatment80",-0.198128601621403,0.15931739806394,12,-1.24360932345811,0.98862844650976
"37","3M Treatment20 - 2M Treatment100",0.767569449435269,0.159007431572352,12,4.82725519081167,0.0177210043300599
"38","3M Treatment20 - 3C Treatment100",0.958439707000726,0.160589969348496,12,5.96824142185877,0.00319788925300524
"39","3M Treatment20 - 3M Treatment100",-0.0122402675947386,0.159437708270611,12,-0.0767714722414564,1
"40","2M Treatment40 - 3C Treatment40",-0.0313014545573141,0.0646554934441582,2573,-0.484126759999884,0.999999962828626
"41","2M Treatment40 - 3M Treatment40",-0.69755020285263,0.0586000599165821,2573,-11.9035749083807,0
"42","2M Treatment40 - 2M Treatment60",0.266378686538026,0.0909002344798165,2573,2.93045103857431,0.182921663203986
"43","2M Treatment40 - 3C Treatment60",0.177641686275543,0.0925228271033212,2573,1.91997685151977,0.843259420347281
"44","2M Treatment40 - 3M Treatment60",-0.749192169150332,0.0917689344951958,2573,-8.16389743731364,0
"45","2M Treatment40 - 2M Treatment80",-0.00274358146855428,0.162249619584217,12,-0.0169096326733155,1
"46","2M Treatment40 - 3C Treatment80",-0.0403265762641318,0.162166544244425,12,-0.248673833755437,0.999999999947029
"47","2M Treatment40 - 3M Treatment80",-0.806602190821464,0.162249310330611,12,-4.97137515825412,0.014202119986005
"48","2M Treatment40 - 2M Treatment100",0.159095860235208,0.161944955685971,12,0.982407013304644,0.998670203509412
"49","2M Treatment40 - 3C Treatment100",0.349966117800665,0.163499063092869,12,2.14047781791803,0.69478075063872
"50","2M Treatment40 - 3M Treatment100",-0.6207138567948,0.162367448078361,12,-3.8228959322883,0.0833814686680202
"51","3C Treatment40 - 3M Treatment40",-0.666248748295316,0.0630585830720893,2573,-10.5655521554243,0
"52","3C Treatment40 - 2M Treatment60",0.29768014109534,0.0918666098760124,2573,3.24035186992427,0.0798572302537672
"53","3C Treatment40 - 3C Treatment60",0.208943140832857,0.0935031695192221,2573,2.2346102480505,0.639549182819146
"54","3C Treatment40 - 3M Treatment60",-0.717890714593018,0.0927460738530535,2573,-7.74038926683237,0
"55","3C Treatment40 - 2M Treatment80",0.0285578730887598,0.163103278700683,12,0.175090735859256,1
"56","3C Treatment40 - 3C Treatment80",-0.00902512170681771,0.163020638386274,12,-0.0553618351403634,1
"57","3C Treatment40 - 3M Treatment80",-0.77530073626415,0.163102971065669,12,-4.7534433689255,0.0198556100634839
"58","3C Treatment40 - 2M Treatment100",0.190397314792522,0.162800212345748,12,1.16951515019013,0.993250829095591
"59","3C Treatment40 - 3C Treatment100",0.381267572357979,0.164346232387406,12,2.31990455040816,0.59591416555739
"60","3C Treatment40 - 3M Treatment100",-0.589412402237485,0.163220490941453,12,-3.61114219690044,0.114700814617075
"61","3M Treatment40 - 2M Treatment60",0.963928889390656,0.0873770598789382,2573,11.031830216377,0
"62","3M Treatment40 - 3C Treatment60",0.875191889128173,0.0889032437202536,2573,9.84431897538053,0
"63","3M Treatment40 - 3M Treatment60",-0.051641966297702,0.088183073717854,2573,-0.58562220753308,0.9999995366477
"64","3M Treatment40 - 2M Treatment80",0.694806621384076,0.160760199115845,12,4.32200647427285,0.0387040463287294
"65","3M Treatment40 - 3C Treatment80",0.657223626588498,0.160676353695004,12,4.09035686630057,0.0553606478614207
