"","Treatment","HS","meano2_2M","meano2_3C","meano2_3M"
"1","12.5","NOHS","0.44 (± 0.08)","1.20 (± 0.11)","0.54 (± 0.04)"
"2","17.5","HS","2.22 (± 0.19)","1.87 (± 0.15)","1.61 (± 0.11)"
"3","17.5","NOHS","1.05 (± 0.09)","1.82 (± 0.28)","0.52 (± 0.07)"
"4","22.5","NOHS","2.65 (± 0.10)","1.08 (± 0.04)","1.06 (± 0.10)"
"5","27.5","HS","2.25 (± 0.29)","1.32 (± 0.09)","0.77 (± 0.07)"
"6","27.5","NOHS","2.77 (± 0.21)","2.18 (± 0.15)","0.99 (± 0.08)"
"7","7.5","HS","0.69 (± 0.08)","1.13 (± 0.11)","0.87 (± 0.07)"
"8","7.5","NOHS","0.52 (± 0.07)","0.78 (± 0.09)","0.54 (± 0.05)"
"9","100","NOHS","1.47 (± 0.06)","1.42 (± 0.11)","1.12 (± 0.09)"
"10","20","HS","2.79 (± 0.20)","2.86 (± 0.17)","3.57 (± 0.37)"
"11","20","NOHS","1.90 (± 0.28)","0.87 (± 0.07)","0.79 (± 0.10)"
"12","40","NOHS","1.75 (± 0.05)","1.43 (± 0.13)","1.31 (± 0.14)"
"13","60","HS","3.29 (± 0.30)","2.20 (± 0.17)","2.60 (± 0.15)"
"14","60","NOHS","1.71 (± 0.14)","1.36 (± 0.05)","1.28 (± 0.18)"
"15","80","HS","2.18 (± 0.18)","2.47 (± 0.21)","2.91 (± 0.51)"
"16","80","NOHS","1.43 (± 0.10)","0.86 (± 0.06)","0.69 (± 0.05)"
"17","1000","HS","1.41 (± 0.14)","1.17 (± 0.11)","0.33 (± 0.03)"
"18","1000","NOHS","0.81 (± 0.06)","0.45 (± 0.04)","0.41 (± 0.04)"
"19","250","NOHS","0.54 (± 0.06)","0.68 (± 0.06)","0.63 (± 0.05)"
"20","500","HS","0.84 (± 0.07)","0.57 (± 0.06)","0.26 (± 0.02)"
"21","500","NOHS","0.75 (± 0.05)","0.51 (± 0.04)","0.68 (± 0.09)"
"22","750","NOHS","0.48 (± 0.03)","0.42 (± 0.05)","0.71 (± 0.08)"
"23","CTRL","HS","0.56 (± 0.05)","0.41 (± 0.05)","0.90 (± 0.14)"
"24","CTRL","NOHS","0.27 (± 0.03)","0.71 (± 0.05)","0.34 (± 0.05)"
