"","Treatment","Ploidy","mean_mm_1_start","mean_mm_2_end","mean_g_1_start","mean_g_2_end"
"1","7.5","2M","20.23 (± 0.03)","20.39 (± 0.03)","0.81 (± 0.00)","0.95 (± 0.00)"
"2","7.5","3C","21.87 (± 0.05)","22.02 (± 0.06)","1.01 (± 0.00)","1.15 (± 0.01)"
"3","7.5","3M","25.47 (± 0.06)","25.43 (± 0.06)","1.46 (± 0.01)","1.70 (± 0.01)"
"4","12.5","2M","21.48 (± 0.04)","20.67 (± 0.04)","0.87 (± 0.00)","1.10 (± 0.01)"
"5","12.5","3C","23.66 (± 0.05)","22.87 (± 0.05)","1.13 (± 0.00)","1.30 (± 0.01)"
"6","12.5","3M","25.76 (± 0.05)","25.19 (± 0.05)","1.57 (± 0.01)","1.85 (± 0.01)"
"7","17.5","2M","19.76 (± 0.03)","19.77 (± 0.03)","0.80 (± 0.00)","0.91 (± 0.00)"
"8","17.5","3C","22.76 (± 0.05)","23.07 (± 0.04)","1.20 (± 0.01)","1.34 (± 0.01)"
"9","17.5","3M","24.42 (± 0.05)","24.51 (± 0.05)","1.43 (± 0.01)","1.62 (± 0.01)"
"10","22.5","2M","20.67 (± 0.04)","20.65 (± 0.04)","0.93 (± 0.00)","1.00 (± 0.01)"
"11","22.5","3C","23.97 (± 0.05)","23.55 (± 0.06)","1.33 (± 0.01)","1.42 (± 0.01)"
"12","22.5","3M","24.44 (± 0.05)","24.24 (± 0.05)","1.46 (± 0.01)","1.58 (± 0.01)"
"13","27.5","2M","20.69 (± 0.03)","19.44 (± 0.04)","0.88 (± 0.00)","0.92 (± 0.00)"
"14","27.5","3C","23.54 (± 0.06)","21.45 (± 0.05)","1.18 (± 0.01)","1.20 (± 0.01)"
"15","27.5","3M","24.44 (± 0.05)","24.27 (± 0.07)","1.44 (± 0.01)","1.44 (± 0.01)"
"16","20","2M","35.05 (± 0.09)","32.82 (± 0.10)","3.22 (± 0.02)","3.00 (± 0.02)"
"17","20","3C","33.28 (± 0.06)","32.17 (± 0.11)","3.35 (± 0.02)","3.54 (± 0.03)"
"18","20","3M","40.95 (± 0.07)","40.04 (± 0.11)","5.81 (± 0.02)","6.29 (± 0.04)"
"19","40","2M","32.06 (± 0.10)","32.51 (± 0.13)","2.68 (± 0.02)","3.09 (± 0.03)"
"20","40","3C","34.05 (± 0.14)","31.45 (± 0.13)","3.46 (± 0.04)","3.27 (± 0.04)"
"21","40","3M","37.82 (± 0.09)","40.41 (± 0.11)","5.04 (± 0.03)","6.34 (± 0.04)"
"22","60","2M","32.45 (± 0.14)","31.71 (± 0.11)","2.75 (± 0.03)","2.77 (± 0.02)"
"23","60","3C","29.77 (± 0.13)","31.37 (± 0.06)","2.78 (± 0.03)","3.20 (± 0.02)"
"24","60","3M","43.47 (± 0.13)","43.91 (± 0.09)","6.71 (± 0.05)","7.62 (± 0.04)"
"25","80","2M","34.10 (± 0.10)","33.28 (± 0.09)","3.10 (± 0.02)","3.31 (± 0.02)"
"26","80","3C","32.91 (± 0.09)","32.38 (± 0.09)","3.25 (± 0.02)","3.62 (± 0.02)"
"27","80","3M","43.52 (± 0.10)","NA (± NA)","6.73 (± 0.04)","7.19 (± 0.04)"
"28","100","2M","32.23 (± 0.08)","32.65 (± 0.08)","2.75 (± 0.02)","2.94 (± 0.02)"
"29","100","3C","29.30 (± 0.08)","27.73 (± 0.10)","2.36 (± 0.02)","2.10 (± 0.02)"
"30","100","3M","41.31 (± 0.10)","40.82 (± 0.11)","5.70 (± 0.03)","6.00 (± 0.04)"
"31","CTRL","Diploid","47.76 (± 0.16)","44.70 (± 0.15)","7.16 (± 0.06)","7.03 (± 0.06)"
"32","CTRL","Induced Triploid","48.82 (± 0.12)","45.56 (± 0.15)","9.16 (± 0.08)","8.20 (± 0.08)"
"33","CTRL","Mated Triploid","50.94 (± 0.22)","50.47 (± 0.43)","10.81 (± 0.16)","11.30 (± 0.34)"
"34","250","Diploid","47.70 (± 0.14)","45.28 (± 0.16)","7.35 (± 0.06)","7.40 (± 0.08)"
"35","250","Induced Triploid","45.67 (± 0.15)","44.06 (± 0.18)","8.15 (± 0.08)","7.75 (± 0.09)"
"36","250","Mated Triploid","56.23 (± 0.21)","51.78 (± 0.21)","12.06 (± 0.12)","10.19 (± 0.11)"
"37","500","Diploid","47.50 (± 0.17)","45.72 (± 0.22)","7.35 (± 0.06)","7.34 (± 0.10)"
"38","500","Induced Triploid","47.16 (± 0.17)","45.69 (± 0.30)","8.61 (± 0.08)","8.44 (± 0.14)"
"39","500","Mated Triploid","55.54 (± 0.15)","54.15 (± 0.33)","11.97 (± 0.10)","12.41 (± 0.20)"
"40","750","Diploid","47.45 (± 0.16)","47.93 (± 0.21)","6.88 (± 0.06)","7.44 (± 0.08)"
"41","750","Induced Triploid","45.94 (± 0.16)","45.78 (± 0.24)","7.75 (± 0.07)","7.94 (± 0.11)"
"42","750","Mated Triploid","56.49 (± 0.17)","50.80 (± 0.71)","11.91 (± 0.10)","10.87 (± 0.26)"
"43","1000","Diploid","48.22 (± 0.14)","45.24 (± 0.46)","7.86 (± 0.06)","7.84 (± 0.15)"
"44","1000","Induced Triploid","46.59 (± 0.17)","42.27 (± 0.35)","8.20 (± 0.09)","7.61 (± 0.11)"
"45","1000","Mated Triploid","56.75 (± 0.19)","50.51 (± 0.55)","11.82 (± 0.10)","11.09 (± 0.20)"
