"","contrast","estimate","SE","df","t.ratio","p.value"
"1","Diploid 1_start 1000 - Mated Triploid 1_start 1000",-8.52999999113924,1.63615621975735,1091,-5.21343859964929,9.14836356431525e-05
"2","Diploid 1_start 1000 - Mated Triploid 1_start 750",-8.27466666666673,1.64512166237008,10,-5.02982050260383,0.0431393394969295
"3","Induced Triploid 1_start 1000 - Mated Triploid 1_start 1000",-10.1595555466947,1.63615621975735,1091,-6.20940434905501,3.25519090127457e-07
"4","Induced Triploid 1_start 1000 - Mated Triploid 1_start 250",-9.64066666666664,1.64512166237008,10,-5.86015422882317,0.0153823967188473
"5","Induced Triploid 1_start 1000 - Mated Triploid 1_start 500",-8.95066666666669,1.64512166237008,10,-5.44073236125997,0.0257748405823199
"6","Induced Triploid 1_start 1000 - Mated Triploid 1_start 750",-9.90422222222221,1.64512166237008,10,-6.02035852348662,0.0126699757044123
"7","Mated Triploid 1_start 1000 - Diploid 2_end 1000",11.5108000106385,1.93896290190721,1091,5.93657568142028,1.67486073210377e-06
"8","Mated Triploid 1_start 1000 - Induced Triploid 2_end 1000",14.4810344889985,1.85029921085461,1091,7.82632041566403,5.05628872105035e-12
"9","Mated Triploid 1_start 1000 - Diploid 1_start 250",9.04644443558364,1.63615635650888,10,5.52908308524151,0.0230981142253457
"10","Mated Triploid 1_start 1000 - Induced Triploid 1_start 250",11.0793333244725,1.63615635650888,10,6.77156145890169,0.00524092798168352
"11","Mated Triploid 1_start 1000 - Diploid 2_end 250",11.4655000063635,1.68705636455449,10,6.79615705038478,0.00509564254341199
"12","Mated Triploid 1_start 1000 - Induced Triploid 2_end 250",12.6911427929697,1.75032561113706,10,7.25073249926637,0.00305916358808866
"13","Mated Triploid 1_start 1000 - Diploid 1_start 500",9.24711110225025,1.63615635650888,10,5.65172825045957,0.0198522527988055
"14","Mated Triploid 1_start 1000 - Induced Triploid 1_start 500",9.59399999113914,1.63615635650888,10,5.86374276087535,0.0153153879270176
"15","Mated Triploid 1_start 1000 - Diploid 2_end 500",11.0306060489927,1.78019237079601,10,6.19630003473189,0.0102616795649916
"16","Mated Triploid 1_start 1000 - Induced Triploid 2_end 500",11.0610713431433,1.87045473210445,10,5.91357339650687,0.0144158874819373
"17","Mated Triploid 1_start 1000 - Diploid 1_start 750",9.30133332447253,1.63615635650888,10,5.68486825080647,0.0190594291477872
"18","Mated Triploid 1_start 1000 - Induced Triploid 1_start 750",10.8128888800281,1.63615635650888,10,6.60871367031198,0.00632130461279246
"19","Mated Triploid 1_start 1000 - Diploid 2_end 750",8.81571439167914,1.75032561238929,10,5.03661394730163,0.0427712523839423
"20","Mated Triploid 1_start 1000 - Induced Triploid 2_end 750",10.9700000300055,1.83128748221362,10,5.99032109188298,0.0131373949792086
"21","Mated Triploid 1_start 1000 - Diploid 1_start CTRL",8.99399999113918,1.63615635650888,10,5.49702964228305,0.024034226552048
"22","Mated Triploid 1_start 1000 - Diploid 2_end CTRL",12.0507499321483,1.68705637027396,10,7.14306299687628,0.00344659804579828
"23","Mated Triploid 1_start 1000 - Induced Triploid 2_end CTRL",11.1857500080581,1.68705636405713,10,6.63033568194365,0.00616514397706069
"24","Diploid 2_end 1000 - Mated Triploid 1_start 250",-10.9919111306104,1.94653416122019,10,-5.64691406377379,0.0199702545516105
"25","Diploid 2_end 1000 - Mated Triploid 1_start 500",-10.3019111306104,1.94653416122019,10,-5.29243788054184,0.0310126179547853
