,Ploidy,Trt,Time,,,,,Ploidy match,Time match,Treatment match,,,,,,,estimate,SE,df,t.ratio,p.value
1,2M,Treatment7.5,1_start,3C,Treatment7.5,1_start,,FALSE,TRUE,TRUE,FALSE,,,,,,-0.216822697,0.05681989,2556,-3.815964768,0.040267056
2,2M,Treatment7.5,1_start,3M,Treatment7.5,1_start,,FALSE,TRUE,TRUE,FALSE,,,,,,-0.567278858,0.056313939,2556,-10.07350704,0
3,2M,Treatment7.5,1_start,3M,Treatment12.5,1_start,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.635425283,0.073707353,11,-8.620921182,0.000441976
4,2M,Treatment7.5,1_start,3C,Treatment17.5,1_start,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.380463966,0.074315447,11,-5.119581238,0.032467634
5,2M,Treatment7.5,1_start,3M,Treatment17.5,1_start,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.562823075,0.073823134,11,-7.623939047,0.001350493
6,2M,Treatment7.5,1_start,3C,Treatment22.5,1_start,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.466837588,0.073707369,11,-6.33366239,0.006533488
7,2M,Treatment7.5,1_start,3M,Treatment22.5,1_start,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.567625677,0.072985208,11,-7.777270162,0.001130904
8,2M,Treatment7.5,1_start,3C,Treatment27.5,1_start,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.375869327,0.0736339,2556,-5.104569035,0.00014602
9,2M,Treatment7.5,1_start,3M,Treatment27.5,1_start,,FALSE,TRUE,FALSE,FALSE,,,,,,-0.556288312,0.0736339,2556,-7.554785353,0
10,2M,Treatment7.5,1_start,3C,Treatment7.5,2_end,,FALSE,FALSE,TRUE,FALSE,,,,,,-0.357381929,0.05771738,2556,-6.191929204,2.98E-07
11,2M,Treatment7.5,1_start,3M,Treatment7.5,2_end,,FALSE,FALSE,TRUE,FALSE,,,,,,-0.723567675,0.057526214,2556,-12.57805134,0
12,2M,Treatment7.5,1_start,3C,Treatment12.5,2_end,,FALSE,FALSE,FALSE,FALSE,,,,,,-0.48289947,0.073824215,11,-6.541207002,0.00502057
