"","contrast","estimate","SE","df","t.ratio","p.value"
"1","2m Treatment12.5 - 2m Treatment22.5",-1.15792697740937,0.235149470944851,120,-4.92421680880982,0.000262607488350164
"2","2m Treatment12.5 - 2m Treatment27.5",-1.1109390056866,0.254217133805131,120,-4.37003985159467,0.00236368423644417
"3","2m Treatment12.5 - 3c Treatment27.5",-0.941916532329681,0.235149470944851,120,-4.005607703666,0.00883173019391725
"4","3m Treatment12.5 - 2m Treatment22.5",-0.995395394794998,0.235149470944851,120,-4.23303267830206,0.00393018349168217
"5","3m Treatment12.5 - 2m Treatment27.5",-0.948407423072223,0.254217133805131,120,-3.73069827700606,0.0220753258504959
"6","3m Treatment12.5 - 3c Treatment27.5",-0.779384949715308,0.235149470944852,120,-3.31442357315825,0.0761429012673227
"7","3m Treatment17.5 - 2m Treatment22.5",-1.03250683136355,0.243098382864904,120,-4.24727971941032,0.00373039223717953
"8","3m Treatment17.5 - 2m Treatment27.5",-0.985518859640779,0.261587272599383,120,-3.76745722315812,0.0196131915969665
"9","3m Treatment17.5 - 3c Treatment27.5",-0.816496386283864,0.243098382864904,120,-3.3587076008548,0.0673748437596319
"10","2m Treatment22.5 - 2m Treatment7.5",1.07371786232105,0.235149470944851,120,4.56610792278954,0.00111345885517344
"11","2m Treatment22.5 - 3c Treatment7.5",0.913684768886711,0.223082375630795,120,4.09572816455422,0.00644197262480439
"12","2m Treatment22.5 - 3m Treatment7.5",0.930017013409161,0.243098382864904,120,3.82568161272383,0.0162183085017881
"13","2m Treatment27.5 - 2m Treatment7.5",1.02672989059828,0.254217133805131,120,4.03879107293104,0.00786961842149558
"14","2m Treatment27.5 - 3c Treatment7.5",0.866696797163936,0.243098382864904,120,3.56521004767679,0.0369508460324794
"15","2m Treatment27.5 - 3m Treatment7.5",0.883029041686386,0.261587272599383,120,3.37565751158976,0.064252663187876
"16","3c Treatment27.5 - 2m Treatment7.5",0.857707417241364,0.235149470944851,120,3.64749881764573,0.0287040048601019
